Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI per capita, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Afghanistan,2016,62.7,61.0,64.5,L,561.7787462709299,652860.0,34656032.0,53.0834053242655,62.8548565825039,15.2,6.34590567573504,10.5957264186601,189.0,580.0,-0.349412121327802,2.36671191565063,0.29944499087551696,84.1371383666992,60.1
Albania,2016,76.4,74.3,78.6,UM,4131.872340652721,28750.0,2876101.0,104.967189781022,14.6340083732708,13.6,2.6989264217312403,66.363444701023,16.0,4320.0,3.51753123242216,3.35215921082479,1.97876331208568,100.0,265.9
Algeria,2016,76.4,75.4,77.4,UM,3916.88157088626,2381740.0,40606052.0,17.0488949050296,37.2309558775069,23.7,1.3593660117565602,42.9455268800332,70.0,4360.0,1.4314034368637902,3.29999999975597,3.71740990081817,99.43956756591801,291.6
Angola,2016,62.6,60.3,64.9,LM,3308.7728284557697,1246700.0,28813463.0,23.1117855137563,36.2404791658913,24.4,4.84934940219914,13.0,370.0,3450.0,-4.09805583322894,-0.813494095515892,1.29132831504477,40.5206069946289,108.6
Antigua and Barbuda,2016,75.0,72.5,77.5,H,14462.1762794658,440.0,100963.0,229.46136363636398,15.685942573366498,11.5,10.333033675356699,73.0,3.4,13560.0,4.25736727880744,5.34247943486722,5.377648546144121,97.3546676635742,657.2
Argentina,2016,76.9,73.5,80.3,UM,12654.354998995801,2780400.0,43847430.0,16.022066803328098,14.1481671684957,14.1,5.94256445075001,70.96898082060241,24.0,11940.0,-2.7845921106937905,-1.82254217028903,4.74679745467325,100.0,997.9
Armenia,2016,74.8,71.2,78.1,LM,3605.743116842561,29740.0,2924816.0,102.733263083948,26.972893316184607,15.7,2.9781257689212697,64.3460297653742,44.0,3770.0,-0.0694778770705824,0.199999997770945,1.9027589101995,100.0,366.0
Australia,2016,82.9,81.0,84.8,H,49896.6811009246,7741220.0,24210809.0,3.15150527836716,6.12680642067615,5.4,0.941156077816376,88.2386580521762,6.1,54130.0,1.29822478455424,2.82731051096303,15.370137760423301,100.0,4934.0
Austria,2016,81.9,79.4,84.2,H,44731.010855336106,83879.0,8736668.0,105.869490929801,14.9651883082137,5.7,0.6552196498579761,84.3233312921004,8.2,45850.0,0.359739594882626,1.45091543821485,6.8698679296766905,100.0,4536.1
Azerbaijan,2016,73.1,70.3,75.7,UM,3880.7387308955604,86600.0,9757812.0,118.04328417792699,32.97762008056289,10.0,2.14125174818278,78.2,66.0,4760.0,-4.17717199814963,-3.10000020204575,3.93156060898919,100.0,368.3
Bahamas,2016,75.7,72.6,78.6,H,30260.305905447403,13880.0,391232.0,39.084115884115896,12.7911417912546,11.0,28.4005573673349,80.0,26.0,27850.0,-2.79369296749304,-1.68954985564559,6.3232575117291,100.0,1685.5
