Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Afghanistan,2016,62.7,61.0,64.5,L,2.749565304548972,5.814820060683741,7.5397788359556435,1.7249587752719024,1.7983388397864217,1.1818435879447726,0.8024936125465831,10.5957264186601,2.2764618041732443,10.300573781139,-0.349412121327802,2.36671191565063,-0.5236829474096854,84.1371383666992,1.7788744720027396
Albania,2016,76.4,74.3,78.6,UM,3.616146894985398,4.458637849025649,6.458804133092097,2.02105357027171,1.1653632991915839,1.1335389083702174,0.43119104495974714,66.363444701023,1.2041199826559248,10.094519415484523,3.51753123242216,3.35215921082479,0.29639384958660003,100.0,2.424718337331567
Algeria,2016,76.4,75.4,77.4,UM,3.592940440608846,6.376894350459825,7.608590766442409,1.2316962336392594,1.570904186554075,1.3747483460101038,0.1333364070522518,42.9455268800332,1.845098040014257,11.248086149586149,1.4314034368637902,3.29999999975597,0.5702404512890336,99.43956756591801,2.4647875196459372
Angola,2016,62.6,60.3,64.9,LM,3.519666950679082,6.0957619594775005,7.459595457912797,1.363833498435296,1.5591939312157792,1.3873898263387294,0.6856834767491106,13.0,2.568201724066995,10.99699114083482,-4.09805583322894,-0.813494095515892,0.11103667393555162,40.5206069946289,2.035829825252828
Antigua and Barbuda,2016,75.0,72.5,77.5,H,4.160233650845535,2.6434526764861874,5.004162246655295,2.3607095701691088,1.1955106207138717,1.0606978403536116,1.0142278447572504,73.0,0.5314789170422551,9.136543187716546,4.25736727880744,5.34247943486722,0.7305924156898446,97.3546676635742,2.8176975547630243
Argentina,2016,76.9,73.5,80.3,UM,4.102240013775917,6.4441072798376,7.641944143436893,1.204718538176684,1.1507001826048515,1.14921911265538,0.7739739006153287,70.96898082060241,1.380211241711606,11.718893845675975,-2.7845921106937905,-1.82254217028903,0.6764007008158047,100.0,2.9990870226258886
Armenia,2016,74.8,71.2,78.1,LM,3.556994783142983,4.473340964185935,6.466098549837621,2.0117110826906663,1.4309275346567243,1.1958996524092338,0.47394303444877806,64.3460297653742,1.6434526764861874,10.042352684896219,-0.0694778770705824,0.199999997770945,0.2793837643232797,100.0,2.5634810853944106
Australia,2016,82.9,81.0,84.8,H,4.698071659300938,6.88880940997423,7.384009301559277,0.49851803884980184,0.7872341588107744,0.7323937598229685,-0.02633834882185261,88.2386580521762,0.785329835010767,12.117452458564493,1.29822478455424,2.82731051096303,1.1866777600386875,100.0,3.6931991451537174
Austria,2016,81.9,79.4,84.2,H,4.650608712702815,4.923653244193512,6.941345832506137,2.0247708247929603,1.1750821859743108,0.7558748556724915,-0.18361308667968254,84.3233312921004,0.9138138523837167,11.602699815828334,0.359739594882626,1.45091543821485,0.8369483880109377,100.0,3.656682620172654
Azerbaijan,2016,73.1,70.3,75.7,UM,3.588914405030701,4.937517892017347,6.989352446472586,2.0720412838549462,1.5182193103996529,1.0,0.3306677305448803,78.2,1.8195439355418688,10.666900662892274,-4.17717199814963,-3.10000020204575,0.5945649751432373,100.0,2.566201718854913
Bahamas,2016,75.7,72.6,78.6,H,4.4808733140499,4.1423894661188365,5.592434369773668,1.5920002922943488,1.1069093131658168,1.0413926851582251,1.453326863257695,80.0,1.414973347970818,10.037325985768394,-2.79369296749304,-1.68954985564559,0.8009408686146906,100.0,3.226728756856991
Bahrain,2016,79.1,78.6,79.6,H,4.353350285002178,2.8870543780509568,6.153866976555687,3.2668125985047296,1.9014092741013067,0.8512583487190752,-0.28083745203047455,97.99998070241459,1.0791812460476249,10.483251933977837,-0.64539999632413,3.21593363864166,1.3701383063970485,100.0,3.0755469613925306
Bangladesh,2016,72.7,71.1,74.4,LM,3.1331488354256973,5.169174619753743,8.212058522494619,3.097547617645745,2.0043951413006273,1.1072099696478683,0.3984761145924069,18.246938002944894,2.3443922736851106,11.335037428491981,5.96268914043026,7.11346522765494,-0.3380530116352038,75.92,1.5024271199844328
Barbados,2016,75.6,73.1,78.0,H,4.201168350647644,2.6334684555795866,5.4548387646045855,2.8213703090249993,1.2651673032111557,0.7403626894942439,1.037711642813595,79.5493978888735,0.07918124604762482,9.636968480018327,1.72119608696235,1.99999999999972,0.6522635261005659,100.0,3.0645328611315783
Belarus,2016,74.2,68.8,79.2,UM,3.7009308961012386,5.31722734917642,6.977793726757639,1.6704902758908744,1.2966373565935272,1.100370545117563,0.5544484042093579,71.1130457603832,1.7160033436347992,10.727690685416286,-2.64871399678408,-2.52645060629638,0.8262016827605028,100.0,2.5462958351214424
Belgium,2016,81.2,78.8,83.5,H,4.615539513022486,4.484726804298662,7.054284413658797,2.573128542830762,1.2052972877618142,0.8512583487190752,0.2898079885218906,86.5165,1.0,11.684096505224085,0.9001391874256229,1.4122920154533898,0.9205490548889871,100.0,3.6261657931392794
Belize,2016,70.5,67.9,73.4,UM,3.695497593958386,4.361160995195026,5.564611626109661,1.2064863408330138,1.3049555713426666,1.3283796034387378,1.5751782326495036,44.57574032,1.5797835966168101,9.215731973853277,-2.5654625106724303,-0.486536511492986,0.14847971926325856,92.2143173217773,2.478854967528663
Benin,2016,61.1,59.7,62.4,L,2.896819566114218,5.059790539573961,7.036321347512329,1.9841662803127642,1.9820917004308958,1.4424797690644486,0.7911826330324571,11.994047908223,1.7708520116421442,9.951069822383495,1.13109189049368,3.96485991037314,-0.21168039353011853,41.402614593505895,1.4955443375464486
Bhutan,2016,70.6,70.4,70.8,LM,3.443035550935143,4.584263360552735,5.901874978777155,1.3207562666302803,1.7466255574879888,1.1760912590556813,0.05280598505101573,41.7726445321672,2.250420002308894,9.301132849579536,6.585735863315611,7.99070541132045,0.1103611813788453,100.0,1.9595183769729982
Bolivia (Plurinational State of),2016,71.5,69.1,74.0,LM,3.493782843010189,6.040831688287468,7.036943405451472,1.0021946623049842,1.343264637287709,1.3673559210260189,0.7993537309343018,39.6975146032685,2.0569048513364727,10.524921668578772,2.70131305161378,4.26391940393987,0.28610141100053954,93.0391311645508,2.295127085252191
Bosnia and Herzegovina,2016,77.3,74.8,79.8,UM,3.682021907339063,4.709354775834396,6.546149646600967,1.8368796856251361,1.5940805960165934,1.2201080880400552,0.10563388800674428,60.26,1.505149978319906,10.239990499661191,3.70557771840463,3.14407738358227,0.7948168957811578,100.0,2.634678752178682
Botswana,2016,66.1,63.6,68.4,UM,3.842245572069527,5.764721461079613,6.352232700352131,0.5988564976107434,1.3643108771967523,1.3222192947339193,1.1771964601074076,39.36299738,2.513217600067939,10.181948268994155,2.41194506598904,4.31550626955971,0.5109854665440109,60.6883964538574,2.590395947184013
Brazil,2016,75.1,71.4,78.9,UM,3.9364818600445495,6.930223923189049,8.31733792747627,1.3952282861151521,1.1021886659062605,1.354108439147401,1.4702333923653976,60.872540068126106,1.6232492903979006,12.264743923955196,-4.25414709607819,-3.46816285562616,0.41403497468929257,100.0,2.8923172607224803
Brunei Darussalam,2016,76.4,75.3,77.6,H,4.430388209735617,3.7611758131557314,5.626541554144952,1.9047309389324052,0.8081643038777123,0.9030899869919435,-0.3071921394120293,90.0,1.8195439355418688,10.14364407546462,-3.76859881236889,-2.46551470989569,1.3448774149644085,100.0,2.9096629851540183
Bulgaria,2016,74.8,71.4,78.4,UM,3.8732884909164493,5.045322978786658,6.852956845716948,1.817287011065267,1.4090312829420595,0.8808135922807914,0.05539439263256055,59.82554766101401,1.4313637641589874,10.732858284097723,4.672684706732331,3.94109784363204,0.768757635586736,100.0,2.7573960287930244
Burkina Faso,2016,60.3,59.6,60.9,L,2.7881635100543547,5.438099126503389,7.2705957650144635,1.8334796719663846,2.044268444719932,1.4871383754771865,-0.4318586114502293,13.96,1.7075701760979363,10.057228808221408,2.8808135353740605,5.924577561372019,-0.79043457206445,19.1647129058838,1.5237464668115646
Burundi,2016,60.1,58.5,61.8,L,2.4559519532457337,4.444513206334043,7.022185667632207,2.6125906482353916,1.6654208880320889,1.5145477526602862,0.7796341474939884,5.17362677652886,2.0718820073061255,9.468824271812288,-3.63951816381083,-0.570434450658766,-1.3517827318256652,7.58847713470459,1.3856062735983121
Cabo Verde,2016,73.2,71.1,75.0,LM,3.482519952881943,3.6053050461411096,5.732039745997672,2.126734699856561,1.8237465304266396,1.3283796034387378,1.0601623492990764,50.3228178676892,2.1367205671564067,9.214812237282711,2.53851215453756,3.81747042782273,-0.029930697225635974,92.6115875244141,2.163757523981956
Cambodia,2016,69.4,67.3,71.2,LM,3.1037719985828787,5.257774540946672,7.1976215177562075,1.9508275989810528,1.4173277474372197,1.2787536009528289,0.2656335350493271,32.3984517141849,2.537819095073274,10.253190103828718,5.29248336130298,6.95309439613069,-0.35876392627096604,49.770656585693395,1.842609239610562
Cameroon,2016,58.1,56.7,59.4,LM,3.1381497677184678,5.677095717250153,7.369942580941698,1.6953477912072592,2.1452144057069136,1.4487063199050798,0.6205629733298673,25.0,2.307496037913213,10.516181863210333,1.75591711041186,4.45045326629905,-0.5017886310452038,60.0747680664063,1.8034571156484138
