,Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Prevalence of HIV, total (% of population ages 15-49)","Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI per capita, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD,Research and development expenditure (% of GDP)
108,Armenia,2010,73.3,69.5,76.7,LM,3218.3816548846503,29740.0,0.2,2877311.0,101.064664559185,25.7208275538577,16.0,1.9462616310854095,25.0,61.0,3470.0,2.6004087835942205,2.1999999991457004,1.46562189488728,99.8,169.4,0.2414
118,Armenia,2000,71.7,68.5,74.6,L,622.7427476879831,29740.0,0.1,3069588.0,107.81833508956801,18.563897626041697,19.8,2.9645672318239504,1.30047002237784,54.0,660.0,6.57029552359336,5.89999999860015,1.12891860406022,98.9,40.5,0.19131
125,Australia,2010,82.0,79.9,84.2,H,51936.888711646105,7741220.0,0.1,22031750.0,2.86785858401781,5.93756128130729,6.4,1.04430077598329,76.0,6.5,46550.0,0.477801448689007,2.05294200395332,17.740845053161898,100.0,4952.8,2.37808
135,Australia,2000,79.6,77.0,82.3,H,21669.410913093998,7741220.0,0.1,19153000.0,2.49313356677037,6.80234129581913,9.5,1.8986840179112,46.75611561167379,6.3,21110.0,2.7112617642975003,3.94318908229896,17.2006098261369,100.0,1632.4,1.57596
142,Austria,2010,80.6,77.8,83.3,H,46858.0432733717,83879.0,0.1,8363404.0,101.28742536726,15.1477554984761,6.7,0.689659354652448,75.17,9.1,49610.0,1.59257804102806,1.83709459152502,8.07113180231399,100.0,4724.7,2.7343900000000003
152,Austria,2000,78.4,75.3,81.2,H,24564.4582948404,83879.0,0.1,8011566.0,97.01581496730441,15.2687951059028,12.2,1.01620021424475,33.7301329516915,17.0,26790.0,3.12743647673042,3.37572197324998,7.77425973898237,100.0,2263.5,1.89139
159,Azerbaijan,2010,71.1,68.6,73.5,UM,5842.805783585761,86600.0,0.1,9054332.0,109.542344173442,26.2238224235431,11.0,2.2806640540884904,46.0,104.0,5410.0,3.61418749995566,4.85433932383958,3.38822587905988,99.9656753540039,287.4,0.21848
169,Azerbaijan,2000,66.5,63.8,69.0,L,655.097432602586,86600.0,0.1,8048600.0,97.434779976999,23.8569804732697,8.0,2.78231202989237,0.147757575623251,80.0,610.0,10.191029376686801,11.099999253540599,3.6662710285018494,98.9082224496759,24.9,0.336
244,Belarus,2010,70.2,64.4,76.2,UM,6029.3967998293,207600.0,0.2,9490583.0,46.7746821094135,20.213095742666894,22.7,4.23305177381232,31.8,69.0,6080.0,7.977492474763959,7.79369790497849,6.64269666046859,100.0,306.2,0.6955100000000001
254,Belarus,2000,68.3,62.8,74.0,LM,1276.2880340999998,207600.0,0.1,9979610.0,49.199418260698096,20.2930472939698,19.0,10.197703573796801,1.86039812615388,83.0,1380.0,6.29963650636165,5.8000034981717805,5.389745290647629,100.0,57.4,0.7224
380,Brazil,2010,73.3,69.7,77.1,UM,11224.1540829355,8515770.0,0.5,196796269.0,23.545462148277,10.964792004925098,20.8,21.9882217380859,40.65,44.0,9610.0,6.50337053258116,7.54179863570165,2.13293757108779,98.883056640625,894.9,1.15869
390,Brazil,2000,69.9,66.1,73.9,UM,3739.11613876518,8515770.0,0.3,175287587.0,20.972080750023306,16.160852485808498,15.9,23.7295736165923,2.87068515854108,51.0,3860.0,2.61076823470627,4.11248423957215,1.87111831255912,94.4665679931641,313.1,1.00084
414,Bulgaria,2010,73.8,70.4,77.3,UM,6843.26694975885,111000.0,0.1,7395599.0,68.1245302137067,26.8627891072634,10.5,1.9987602284528896,46.23,41.0,6980.0,1.99327953842283,1.32408780093829,5.9649002061902,100.0,484.8,0.56387
424,Bulgaria,2000,71.5,68.2,75.0,LM,1609.88245178581,110990.0,0.1,8170172.0,73.8513242339329,29.171008742369104,12.6,4.1511483114016405,5.370923469086961,52.0,1650.0,5.46013344755167,4.94055377635733,5.3280343424838605,100.0,94.5,0.49885
448,Burundi,2010,57.6,56.3,58.8,L,231.194325649216,27830.0,1.5,8766930.0,341.391355140187,40.1802767720132,31.5,3.95805601276616,1.0,144.0,210.0,0.4960395545007539,3.78590254312172,0.0242600317328871,5.3,26.1,0.1378
