Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]"
Surface area (sq. km),"AG.SRF.TOTL.K2","Afghanistan","AFG","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860"
Surface area (sq. km),"AG.SRF.TOTL.K2","Albania","ALB","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750","28750"
Surface area (sq. km),"AG.SRF.TOTL.K2","Algeria","DZA","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740"
Surface area (sq. km),"AG.SRF.TOTL.K2","American Samoa","ASM","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200"
Surface area (sq. km),"AG.SRF.TOTL.K2","Andorra","AND","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470"
Surface area (sq. km),"AG.SRF.TOTL.K2","Angola","AGO","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700","1246700"
Surface area (sq. km),"AG.SRF.TOTL.K2","Antigua and Barbuda","ATG","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440"
Surface area (sq. km),"AG.SRF.TOTL.K2","Argentina","ARG","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400","2780400"
Surface area (sq. km),"AG.SRF.TOTL.K2","Armenia","ARM","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740","29740"
Surface area (sq. km),"AG.SRF.TOTL.K2","Aruba","ABW","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180"
Surface area (sq. km),"AG.SRF.TOTL.K2","Australia","AUS","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220","7741220"
Surface area (sq. km),"AG.SRF.TOTL.K2","Austria","AUT","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879","83879"
Surface area (sq. km),"AG.SRF.TOTL.K2","Azerbaijan","AZE","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600","86600"
Surface area (sq. km),"AG.SRF.TOTL.K2","Bahamas, The","BHS","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880","13880"
